time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-22T07:01:55.050Z,37.8163333,-121.9395,7.97,1.08,md,19,75,0.02063,0.04,nc,nc72943141,2017-12-23T02:19:03.700Z,"3km SE of Diablo, CA",earthquake,0.18,0.27,0.096,12,reviewed,nc,nc
2017-12-16T09:46:59.300Z,37.8343333,-121.9405,9.64,1.62,md,40,75,0.006966,0.06,nc,nc72940816,2017-12-22T03:37:02.897Z,"2km E of Diablo, CA",earthquake,0.15,0.34,0.142,32,reviewed,nc,nc
2017-11-03T16:03:26.670Z,37.8596667,-121.996,5.82,1.34,md,11,106,0.06837,0.05,nc,nc72918366,2017-11-04T02:57:04.588Z,"3km ENE of Alamo, California",earthquake,0.31,0.46,0.165,10,reviewed,nc,nc
2017-10-24T00:21:48.090Z,37.8598333,-121.9878333,9.42,1.28,md,22,104,0.03906,0.05,nc,nc72913231,2017-10-24T01:21:03.883Z,"3km NW of Diablo, California",earthquake,0.24,0.4,0.149,16,reviewed,nc,nc
2017-10-16T14:27:33.760Z,37.8408333,-121.9758333,6.89,1.14,md,12,88,0.0732,0.04,nc,nc72909606,2017-10-16T22:30:03.018Z,"1km WNW of Diablo, California",earthquake,0.35,0.57,0.038,7,reviewed,nc,nc
2017-09-14T21:12:04.180Z,37.849,-121.993,7.27,1.71,md,25,78,0.03722,0.12,nc,nc72892386,2017-09-15T05:06:02.314Z,"3km NNE of Danville, California",earthquake,0.29,0.62,0.223,21,reviewed,nc,nc
2017-09-08T08:47:20.750Z,37.8313333,-121.938,7.32,2.1,md,92,77,0.009782,0.12,nc,nc72888386,2017-09-09T06:42:01.775Z,"1km ESE of Diablo, California",earthquake,0.12,0.16,0.211,63,reviewed,nc,nc
2017-08-10T16:41:41.560Z,37.8475,-121.9965,7.8,0.97,md,7,104,0.01173,0.08,nc,nc72865846,2017-08-17T20:55:02.609Z,"2km N of Danville, California",earthquake,0.53,0.98,0.116,6,reviewed,nc,nc
2017-05-14T00:17:28.350Z,37.8213333,-121.9545,7.02,1.1,md,15,71,0.01478,0.07,nc,nc72801371,2017-05-16T23:01:06.806Z,"1km SSE of Diablo, California",earthquake,0.43,0.31,0.146,10,reviewed,nc,nc
2017-05-01T21:08:47.260Z,37.8411667,-121.9485,9.56,2.01,md,72,71,0.005662,0.08,nc,nc72795750,2017-05-03T00:30:03.234Z,"1km NE of Diablo, California",earthquake,0.11,0.17,0.167,53,reviewed,nc,nc
2017-04-07T11:16:21.140Z,37.833,-121.9736667,6.99,1.9,md,41,49,0.01956,0.08,nc,nc72785966,2017-04-07T20:03:04.868Z,"1km W of Diablo, California",earthquake,0.14,0.23,0.359,32,reviewed,nc,nc
2017-04-06T23:18:17.920Z,37.8363333,-121.9681667,6.68,0.94,md,14,80,0.01506,0.03,nc,nc72785761,2017-04-07T01:10:04.910Z,"0km W of Diablo, California",earthquake,0.3,0.37,0.139,10,reviewed,nc,nc
2017-04-06T23:11:02.440Z,37.833,-121.9743333,6.05,1.61,md,28,49,0.02008,0.08,nc,nc72785751,2017-04-07T20:25:01.940Z,"1km W of Diablo, California",earthquake,0.16,0.21,0.196,21,reviewed,nc,nc
